"Language"	"ED"	"NED"	"B-Cubed"	"BLEU"
"cojubim"	1.978	0.347	0.582	0.51
"jaru"	2.31	0.356	0.532	0.459
"kitemoka"	3.615	0.564	0.369	0.193
"more"	1.83	0.319	0.549	0.561
"orowin"	1.549	0.258	0.636	0.601
"tapakura"	3.023	0.481	0.408	0.298
"tora"	2.314	0.408	0.488	0.428
"urupa"	2.763	0.478	0.459	0.31
"wanyam"	2.109	0.317	0.608	0.504
"wari"	2.519	0.402	0.512	0.369
1	1.129	0.244	0.657	0.644
10	1.129	0.232	0.676	0.66
2	0.907	0.194	0.737	0.712
3	1.65	0.379	0.622	0.513
4	0.959	0.24	0.729	0.613
5	1.818	0.53	0.585	0.305
6	0.928	0.211	0.7	0.681
7	1.347	0.329	0.651	0.508
8	1.178	0.283	0.665	0.577
9	1.425	0.32	0.661	0.546
"AchangLongchuan"	1.383	0.333	0.56	0.55
"Atsi"	1.044	0.276	0.632	0.626
"Bola"	0.802	0.221	0.718	0.676
"Lashi"	1.708	0.461	0.529	0.378
"Maru"	0.728	0.197	0.737	0.702
"OldBurmese"	0.603	0.196	0.791	0.719
"ProtoBurmish"	0.457	0.121	0.841	0.803
"Rangoon"	2.008	0.551	0.387	0.325
"Xiandao"	1.672	0.443	0.467	0.408
"BanPaw"	0.661	0.239	0.781	0.665
"ChaYeQing"	1.018	0.357	0.695	0.521
"ChuDongGua"	1.017	0.354	0.741	0.5
"GuangKa"	0.864	0.295	0.717	0.589
"HtanHsan"	1.085	0.366	0.674	0.499
"KhunHawt"	1.119	0.382	0.611	0.501
"MangBang"	0.881	0.297	0.692	0.586
"ManLoi"	0.966	0.342	0.688	0.522
"MengDan"	1.254	0.431	0.664	0.423
"NamHsan"	1.356	0.454	0.653	0.429
"NanSang"	1.051	0.337	0.668	0.569
"NoeLae"	0.525	0.191	0.802	0.733
"NyaungGone"	0.729	0.266	0.724	0.629
"PangKham"	0.695	0.234	0.799	0.661
"PongNuea"	0.862	0.307	0.795	0.572
"XiangZhaiTang"	0.712	0.25	0.831	0.648
"BelejeGonfoye"	1.639	0.303	0.624	0.562
"Fadashi"	0.967	0.198	0.735	0.702
"Maiyu"	1.283	0.243	0.691	0.629
"Undulu"	1.131	0.224	0.712	0.655
"Albanian"	3	0.793	0.344	0.086
"English"	2.589	0.713	0.362	0.14
"French"	2.6	0.743	0.31	0.129
"German"	2.309	0.665	0.403	0.199
"Latin"	3.333	0.688	0.273	0.164
"Dashi"	0.863	0.255	0.672	0.626
"Ega"	0.571	0.177	0.752	0.738
"Enqi"	0.665	0.192	0.758	0.714
"Gongxing"	0.794	0.225	0.696	0.673
"Jinman"	0.766	0.237	0.705	0.664
"Jinxing"	0.574	0.164	0.77	0.742
"Mazhelong"	0.847	0.249	0.681	0.64
"ProtoBai"	0.873	0.219	0.719	0.657
"Tuoluo"	0.661	0.18	0.746	0.711
"Zhoucheng"	0.51	0.163	0.763	0.762
"Kayah"	0.184	0.053	0.916	0.918
"Kayan"	0.447	0.107	0.856	0.826
"Kayaw"	0.193	0.058	0.923	0.904
"NorthernPao"	0.386	0.087	0.862	0.871
"NorthernPwo"	0.798	0.214	0.775	0.67
"ProtoKaren"	0.57	0.141	0.831	0.779
"SouthernPao"	0.386	0.087	0.861	0.871
"WesternBwe"	0.526	0.16	0.801	0.769
"Duhumbi"	0.698	0.281	0.62	0.628
"Jerigaon"	0.309	0.131	0.816	0.822
"Khispi"	0.611	0.25	0.66	0.658
"Khoina"	0.465	0.199	0.748	0.735
"Khoitam"	0.28	0.116	0.831	0.842
"Rahung"	0.284	0.111	0.816	0.849
"Rupa"	0.305	0.128	0.839	0.821
"Shergaon"	0.342	0.145	0.789	0.802
"Beijing"	0.161	0.047	0.925	0.925
"Changsha"	0.381	0.116	0.841	0.835
"Chaozhou"	1.11	0.285	0.599	0.604
"Chengdu"	0.123	0.035	0.95	0.944
"Fuzhou"	0.813	0.21	0.716	0.678
"Guangzhou"	0.561	0.157	0.761	0.767
"Hankou"	0.135	0.039	0.941	0.938
"Jinan"	0.116	0.038	0.942	0.943
"Meixian"	0.574	0.153	0.771	0.767
"Nanchang"	0.477	0.134	0.801	0.79
"Shanghai"	0.497	0.15	0.781	0.778
"Shuangfeng"	0.645	0.177	0.738	0.725
"Suzhou"	0.361	0.103	0.851	0.832
"Taiyuan"	0.226	0.058	0.903	0.913
"Wenzhou"	0.845	0.251	0.658	0.647
"Xiamen"	0.561	0.15	0.783	0.78
"XiAn"	0.239	0.073	0.896	0.895
"Yangzhou"	0.303	0.087	0.869	0.879
"ZhongyuanYinyun"	0.342	0.087	0.865	0.856
